
       XFOIL         Version 6.99

 Calculated polar for: NACA 6412

 1 1 Reynolds number fixed          Mach number fixed

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000

   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1464   0.01205   0.00596  -0.1542   0.8352   0.0407
  -4.000   0.2571   0.01086   0.00452  -0.1539   0.8019   0.0509
  -3.000   0.3676   0.00995   0.00343  -0.1535   0.7639   0.0680
  -2.000   0.4777   0.00953   0.00281  -0.1530   0.7221   0.0984
  -1.000   0.5864   0.00927   0.00253  -0.1524   0.6764   0.1570
   0.000   0.6940   0.00926   0.00256  -0.1516   0.6303   0.2546
   3.000   1.0088   0.00931   0.00361  -0.1481   0.5313   1.0000
   4.000   1.1147   0.01003   0.00418  -0.1473   0.5101   1.0000
   5.000   1.2196   0.01073   0.00487  -0.1465   0.4909   1.0000
   6.000   1.3221   0.01149   0.00568  -0.1452   0.4720   1.0000
   7.000   1.4202   0.01231   0.00657  -0.1432   0.4506   1.0000
   8.000   1.5041   0.01320   0.00750  -0.1386   0.4121   1.0000
   9.000   1.5784   0.01436   0.00875  -0.1324   0.3712   1.0000
  10.000   1.6320   0.01678   0.01100  -0.1235   0.2986   1.0000
  11.000   1.6379   0.02259   0.01618  -0.1098   0.1760   1.0000
  12.000   1.6202   0.03147   0.02458  -0.0971   0.0811   1.0000
  13.000   1.6139   0.04121   0.03433  -0.0892   0.0488   1.0000
  14.000   1.6050   0.05285   0.04622  -0.0844   0.0370   1.0000
  15.000   1.5912   0.06631   0.06000  -0.0818   0.0307   1.0000
  16.000   1.5662   0.08207   0.07608  -0.0810   0.0266   1.0000
  17.000   1.5561   0.09640   0.09078  -0.0815   0.0236   1.0000
  18.000   1.5367   0.11228   0.10695  -0.0834   0.0212   1.0000
  19.000   1.5308   0.12655   0.12153  -0.0864   0.0191   1.0000
  20.000   1.5269   0.14026   0.13551  -0.0902   0.0174   1.0000
  21.000   1.5292   0.15368   0.14924  -0.0957   0.0158   1.0000
  22.000   1.5325   0.16636   0.16216  -0.1016   0.0145   1.0000
  23.000   1.5302   0.18131   0.17756  -0.1105   0.0135   1.0000
  24.000   1.5274   0.19671   0.19329  -0.1211   0.0127   1.0000
  25.000   1.5176   0.21348   0.21040  -0.1337   0.0119   1.0000
