  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0018                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.480 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   1.000   0.1054   0.00854   0.00285   0.0020   0.5669   0.6940
   2.000   0.2107   0.00872   0.00306   0.0040   0.5060   0.7583
   3.000   0.3156   0.00906   0.00341   0.0061   0.4469   0.8195
   4.000   0.4189   0.00960   0.00392   0.0085   0.3896   0.8750
   5.000   0.5214   0.01039   0.00462   0.0111   0.3341   0.9196
   6.000   0.6295   0.01145   0.00551   0.0123   0.2798   0.9535
   8.000   0.9065   0.01436   0.00795  -0.0004   0.1752   0.9849
   9.000   1.0450   0.01608   0.00949  -0.0075   0.1365   0.9972
  10.000   1.0990   0.01748   0.01084   0.0018   0.1151   1.0000
  11.000   1.0998   0.01896   0.01230   0.0210   0.1020   1.0000
  12.000   1.1432   0.02144   0.01485   0.0300   0.0891   1.0000
  13.000   1.1874   0.02516   0.01865   0.0359   0.0786   1.0000
  14.000   1.2221   0.03054   0.02415   0.0399   0.0705   1.0000
  16.000   1.2641   0.04669   0.04077   0.0414   0.0591   1.0000
  17.000   1.2651   0.05819   0.05255   0.0394   0.0551   1.0000
  18.000   1.2576   0.07141   0.06597   0.0357   0.0517   1.0000
  19.000   1.2478   0.08589   0.08078   0.0305   0.0486   1.0000
  20.000   1.2361   0.10075   0.09588   0.0248   0.0460   1.0000
  21.000   1.2241   0.11644   0.11183   0.0174   0.0434   1.0000
  22.000   1.2103   0.13260   0.12828   0.0090   0.0411   1.0000
  23.000   1.2014   0.14855   0.14447  -0.0007   0.0389   1.0000
  25.000   1.1250   0.19456   0.19125  -0.0331   0.0345   1.0000
